0.6, -0.007, 0.046, 0.627
1, 0.098, 0.041, 0.618
1, -0.109, 0.043, 0.634
1, -0.007, -0.043, 0.62
0.55, 0.036, 0.049, 0.561
1, 0.141, 0.042, 0.561
1, -0.078, 0.043, 0.589
1, 0.053, -0.052, 0.562
0.5, 0.005, 0.041, 0.511
1, 0.104, 0.037, 0.509
1, -0.117, 0.038, 0.537
1, 0.013, -0.057, 0.509
0.45, 0.01, 0.039, 0.455
1, 0.103, 0.032, 0.439
1, -0.107, 0.035, 0.47
1, -0.003, -0.059, 0.452
0.4, 0.009, 0.033, 0.413
1, 0.058, 0.033, 0.408
1, -0.059, 0.027, 0.424
1, 0.021, -0.005, 0.401
0.35, 0.01, 0.036, 0.36
1, 0.063, 0.033, 0.349
1, -0.045, 0.023, 0.371
1, 0.028, -0.012, 0.362
